dataset,id,flip,claim,label,original_label,evidence,pmid,entity_a,entity_b,effect
signor,SIGNOR-256108,False,CREB1 directly activates PCK1,SUPPORT,SUPPORTED,These results reveal that CRTC2 plays an essential role in the regulation of hepatic gluconeogenesis through coordinated regulation of the glucocorticoid/GR- and glucagon/CREB-signaling pathways on the key genes G6P and PEPCK.,26652733,CREB1,PCK1,up-regulates quantity
signor,SIGNOR-256108,True,CREB1 directly inhibits PCK1,REFUTE,WRONG,These results reveal that CRTC2 plays an essential role in the regulation of hepatic gluconeogenesis through coordinated regulation of the glucocorticoid/GR- and glucagon/CREB-signaling pathways on the key genes G6P and PEPCK.,26652733,CREB1,PCK1,up-regulates quantity
signor,SIGNOR-98365,False,CHUK directly activates H3-3A,UNCERTAIN,UNCERTAIN,Cascade of distinct histone modifications during collagenase gene activation.,12588998,CHUK,H3-3A,up-regulates
signor,SIGNOR-157288,False,PRKACA directly activates AKT2,REFUTE,WRONG,"Taken together, we suggest that shh acts in an autocrinic manner in adult myoblasts, and provide first evidence of a role for pi3k/akt in shh signaling during myoblast differentiation.",17688959,PRKACA,AKT2,up-regulates
signor,SIGNOR-175304,False,CRTC2 directly activates AKT1,REFUTE,WRONG,"Positive feedback involves mtorc2, which phosphorylates akt at serine 473, a phosphorylation required for maximum activation of akt in addition to phosphorylation at threonine 308 by pdk1.",21798082,CRTC2,AKT1,up-regulates
signor,SIGNOR-38137,False,GNAT1 directly inhibits ADCY1,REFUTE,WRONG,"Members of the gi family are linked with reductions in camp through adenylyl cyclase, but have many other actions as well",8327893,GNAT1,ADCY1,down-regulates
signor,SIGNOR-169509,False,MCM2 directly activates ATR,REFUTE,WRONG,Additional activation of mec1 could be mediated by replication intermediates derived from type (ii) ddk driven initiation or checkpoint signaling.,21070963,MCM2,ATR,up-regulates
signor,SIGNOR-203872,False,NF1 directly activates ADCY1,REFUTE,WRONG,"Nf1encodes neurofibromin, a protein with multiple functions including ras inactivation (ras gtpase-activating protein or rasgap) and adenylyl cyclase (ac) activation",24431436,NF1,ADCY1,up-regulates
signor,SIGNOR-38079,False,GNAO1 directly inhibits ADCY1,REFUTE,WRONG,"Members of the gi family are linked with reductions in camp through adenylyl cyclase, but have many other actions as well",8327893,GNAO1,ADCY1,down-regulates
signor,SIGNOR-255630,False,ALOX5 directly inhibits STAT5A,REFUTE,WRONG,… we report that the tumor suppressor phosphatase and tensin homolog (PTEN) is oxidized and inactivated during arachidonic acid (AA) metabolism in pancreatic cancer cell lines expressing COX-2 or 5-LOX,17369849,ALOX5,STAT5A,down-regulates activity
signor,SIGNOR-92257,False,AKT1 directly inhibits PPP1CA,REFUTE,WRONG,Ir-induced pp1 activation in the nucleus may be a critical component in an atm-mediated pathway controlling checkpoint activation.,12202491,AKT1,PPP1CA,down-regulates
signor,SIGNOR-235415,False,CDK2 directly inhibits UBE2R2,REFUTE,WRONG,Ck2-dependent phosphorylation of the e2 ubiquitin conjugating enzyme ubc3b induces its interaction with bold beta-trcp and enhances bold beta-catenin degradation. serine 233 of ubc3b is the main ck2 targe,12037680,CDK2,UBE2R2,down-regulates activity
signor,SIGNOR-52870,False,PIK3CG directly activates AKT1,REFUTE,WRONG,Akt may be regulated by both phosphorylation and by the direct binding of pi3k to the akt pleckstrin homology (ph) domain.,9346240,PIK3CG,AKT1,up-regulates
signor,SIGNOR-259828,False,AURKA directly activates AR,REFUTE,WRONG,Phosphorylation and activation of androgen receptor by Aurora-A.Aurora-A interacts with AR and phosphorylates AR at Thr(282) and Ser(293) in vitro and in vivo. Aurora-A induces AR transactivation activity in a phosphorylation-dependent manner.,20713353,AURKA,AR,up-regulates activity
signor,SIGNOR-138463,False,MAPK9 directly activates H3-3A,REFUTE,WRONG,"Phosphorylation of histone h3 at serine 10 is indispensable for neoplastic cell transformation. When h3 wt was overexpressed, egf induction of c-fos and c-jun promoter activity was significantly increased compared with control cells but not in the h3 mutant s10a or s28a cells.",15994958,MAPK9,H3-3A,up-regulates
signor,SIGNOR-138451,False,MAPK1 directly activates H3-3A,REFUTE,WRONG,"Phosphorylation of histone h3 at serine 10 is indispensable for neoplastic cell transformation. When h3 wt was overexpressed, egf induction of c-fos and c-jun promoter activity was significantly increased compared with control cells but not in the h3 mutant s10a or s28a cells.",15994958,MAPK1,H3-3A,up-regulates
signor,SIGNOR-138455,False,MAPK3 directly activates H3-3A,REFUTE,WRONG,"Phosphorylation of histone h3 at serine 10 is indispensable for neoplastic cell transformation. When h3 wt was overexpressed, egf induction of c-fos and c-jun promoter activity was significantly increased compared with control cells but not in the h3 mutant s10a or s28a cells.",15994958,MAPK3,H3-3A,up-regulates
signor,SIGNOR-138459,False,MAPK8 directly activates H3-3A,REFUTE,WRONG,"Phosphorylation of histone h3 at serine 10 is indispensable for neoplastic cell transformation. When h3 wt was overexpressed, egf induction of c-fos and c-jun promoter activity was significantly increased compared with control cells but not in the h3 mutant s10a or s28a cells.",15994958,MAPK8,H3-3A,up-regulates
signor,SIGNOR-271750,False,DZIP3 directly activates H2AB1,UNCERTAIN,UNCERTAIN,"2A-HUB catalyzes monoubiquitination of H2A at lysine 119, functioning as a combinatoric component of the repression machinery required for specific gene regulation programs. Thus, 2A-HUB mediates a selective repression of a specific set of chemokine genes in macrophages, critically modulating migratory responses to TLR activation. H2A monoubiquitination acts to prevent FACT recruitment at the transcriptional promoter region, blocking RNA polymerase II release at the early stage of elongation.",18206970,DZIP3,H2AB1,up-regulates activity
signor,SIGNOR-271751,False,DZIP3 directly activates H2AB2,UNCERTAIN,UNCERTAIN,"2A-HUB catalyzes monoubiquitination of H2A at lysine 119, functioning as a combinatoric component of the repression machinery required for specific gene regulation programs. Thus, 2A-HUB mediates a selective repression of a specific set of chemokine genes in macrophages, critically modulating migratory responses to TLR activation. H2A monoubiquitination acts to prevent FACT recruitment at the transcriptional promoter region, blocking RNA polymerase II release at the early stage of elongation.",18206970,DZIP3,H2AB2,up-regulates activity
signor,SIGNOR-56144,False,KRAS directly activates TCF3,REFUTE,WRONG,Our results are consistent with a model in which notch and deltex act on e47 by inhibiting signaling through ras.,9528794,KRAS,TCF3,up-regulates
