dataset,id,claim,label,original_label,evidence,ligand,receptor,lr_pair,species,pmid
connectomedb,CDB25:0003848,LAMA3 as ligand directly interacts extracellularly with ITGA6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LAMA3%20ITGA6-based-on-Pubmed-ID-12123670,%2016413178",LAMA3,ITGA6,LAMA3 ITGA6,human,12123670
connectomedb,CDB25:0003849,LAMA3 as ligand directly interacts extracellularly with ITGB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LAMA3%20ITGB1-based-on-Pubmed-ID-12123670,%2016413178,%202032285",LAMA3,ITGB1,LAMA3 ITGB1,human,12123670
connectomedb,CDB25:0003850,LAMA3 as ligand directly interacts extracellularly with ITGB4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LAMA3%20ITGB4-based-on-Pubmed-ID-16413178,%2016571677",LAMA3,ITGB4,LAMA3 ITGB4,human,16413178
connectomedb,CDB25:0003860,LAMB2 as ligand directly interacts extracellularly with ITGA6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LAMB2%20ITGA6-based-on-Pubmed-ID-16413178,%207721947",LAMB2,ITGA6,LAMB2 ITGA6,human,16413178
connectomedb,CDB25:0003863,LAMB2 as ligand directly interacts extracellularly with ITGB4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LAMB2%20ITGB4-based-on-Pubmed-ID-16413178,%207721947",LAMB2,ITGB4,LAMB2 ITGB4,human,16413178
connectomedb,CDB25:0003919,LRRC4C as ligand directly interacts extracellularly with NTNG1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LRRC4C%20NTNG1-based-on-Pubmed-ID-14595443,%2023986473,%2025411505",LRRC4C,NTNG1,LRRC4C NTNG1,human,14595443
connectomedb,CDB25:0003920,LRRTM1 as ligand directly interacts extracellularly with NRXN1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LRRTM1%20NRXN1-based-on-Pubmed-ID-20519524,%2030262834",LRRTM1,NRXN1,LRRTM1 NRXN1,human,20519524
connectomedb,CDB25:0003923,LRRTM2 as ligand directly interacts extracellularly with NRXN1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-LRRTM2%20NRXN1-based-on-Pubmed-ID-20064387,%2020064388,%2020519524,%2021424692,%2030262834",LRRTM2,NRXN1,LRRTM2 NRXN1,human,20064387
connectomedb,CDB25:0003938,MAG as ligand directly interacts extracellularly with RTN4R as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-MAG%20RTN4R-based-on-Pubmed-ID-12160746,%2015673660",MAG,RTN4R,MAG RTN4R,human,12160746
connectomedb,CDB25:0003940,MBL2 as ligand directly interacts extracellularly with LRP1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-MBL2%20LRP1-based-on-Pubmed-ID-11560994,%2021054788",MBL2,LRP1,MBL2 LRP1,human,11560994
connectomedb,CDB25:0003952,MMP1 as ligand directly interacts extracellularly with LRP1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-MMP1%20LRP1-based-on-Pubmed-ID-32694578,%2032702237",MMP1,LRP1,MMP1 LRP1,human,32694578
connectomedb,CDB25:0003953,MMP14 as ligand directly interacts extracellularly with FLT1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-MMP14%20FLT1-based-on-Pubmed-ID-26284550,%2027327585",MMP14,FLT1,MMP14 FLT1,human,26284550
connectomedb,CDB25:0003962,MSTN as ligand directly interacts extracellularly with ACVR2A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-MSTN%20ACVR2A-based-on-Pubmed-ID-11459935,%2025641196",MSTN,ACVR2A,MSTN ACVR2A,human,11459935
connectomedb,CDB25:0003970,NCAM1 as ligand directly interacts extracellularly with NCAM1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NCAM1%20NCAM1-based-on-Pubmed-ID-15118102,%2016510522",NCAM1,NCAM1,NCAM1 NCAM1,human,15118102
connectomedb,CDB25:0003974,NCAN as ligand directly interacts extracellularly with NCAM1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NCAN%20NCAM1-based-on-Pubmed-ID-29670169,%207513709",NCAN,NCAM1,NCAN NCAM1,human,29670169
connectomedb,CDB25:0003977,NECTIN3 as ligand directly interacts extracellularly with NECTIN1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NECTIN3%20NECTIN1-based-on-Pubmed-ID-11544254,%2012011057",NECTIN3,NECTIN1,NECTIN3 NECTIN1,human,11544254
connectomedb,CDB25:0003978,NECTIN4 as ligand directly interacts extracellularly with NECTIN1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NECTIN4%20NECTIN1-based-on-Pubmed-ID-11544254,%2012011057",NECTIN4,NECTIN1,NECTIN4 NECTIN1,human,11544254
connectomedb,CDB25:0003990,NPPC as ligand directly interacts extracellularly with NPR1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NPPC%20NPR1-based-on-Pubmed-ID-39261724,%207901875",NPPC,NPR1,NPPC NPR1,human,39261724
connectomedb,CDB25:0003993,NPTX2 as ligand directly interacts extracellularly with NPTXR as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NPTX2%20NPTXR-based-on-Pubmed-ID-30833544,%209261167",NPTX2,NPTXR,NPTX2 NPTXR,human,30833544
connectomedb,CDB25:0004025,NTM as ligand directly interacts extracellularly with NTM as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NTM%20NTM-based-on-Pubmed-ID-30956130,%209801370",NTM,NTM,NTM NTM,human,30956130
connectomedb,CDB25:0004027,NTN1 as ligand directly interacts extracellularly with DSCAM as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-NTN1%20DSCAM-based-on-Pubmed-ID-18585357,%2019196994",NTN1,DSCAM,NTN1 DSCAM,human,18585357
connectomedb,CDB25:0004112,PLG as ligand directly interacts extracellularly with IGF2R as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-PLG%20IGF2R-based-on-Pubmed-ID-12189157,%2021273553",PLG,IGF2R,PLG IGF2R,human,12189157
connectomedb,CDB25:0004117,POSTN as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-POSTN%20ITGAV-based-on-Pubmed-ID-12235007,%2027905395",POSTN,ITGAV,POSTN ITGAV,human,12235007
connectomedb,CDB25:0004154,PTPRD as ligand directly interacts extracellularly with SLITRK2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-PTPRD%20SLITRK2-based-on-Pubmed-ID-23345436,%2025989451",PTPRD,SLITRK2,PTPRD SLITRK2,human,23345436
connectomedb,CDB25:0004166,PTPRZ1 as ligand directly interacts extracellularly with CNTN1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-PTPRZ1%20CNTN1-based-on-Pubmed-ID-10103110,%2020133774,%2021969550,%207628014",PTPRZ1,CNTN1,PTPRZ1 CNTN1,human,10103110
connectomedb,CDB25:0004192,RTN4R as ligand directly interacts extracellularly with ADGRB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-RTN4R%20ADGRB1-based-on-Pubmed-ID-30477585,%2034758294",RTN4R,ADGRB1,RTN4R ADGRB1,human,30477585
connectomedb,CDB25:0004194,RTN4RL1 as ligand directly interacts extracellularly with ADGRB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-RTN4RL1%20ADGRB1-based-on-Pubmed-ID-30477585,%2034758294",RTN4RL1,ADGRB1,RTN4RL1 ADGRB1,human,30477585
connectomedb,CDB25:0004196,RTN4RL2 as ligand directly interacts extracellularly with ADGRB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-RTN4RL2%20ADGRB1-based-on-Pubmed-ID-30477585,%2034758294",RTN4RL2,ADGRB1,RTN4RL2 ADGRB1,human,30477585
connectomedb,CDB25:0004207,S100A4 as ligand directly interacts extracellularly with ANXA2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-S100A4%20ANXA2-based-on-Pubmed-ID-15788416,%2028669632",S100A4,ANXA2,S100A4 ANXA2,human,15788416
connectomedb,CDB25:0004234,S100B as ligand directly interacts extracellularly with AGER as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-S100B%20AGER-based-on-Pubmed-ID-23729438,%2025945582",S100B,AGER,S100B AGER,human,23729438
connectomedb,CDB25:0004295,SHBG as ligand directly interacts extracellularly with GPRC6A as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-SHBG%20GPRC6A-based-on-Pubmed-ID-27673554,%2031857654",SHBG,GPRC6A,SHBG GPRC6A,human,27673554
connectomedb,CDB25:0004301,SIGLEC9 as ligand directly interacts extracellularly with MUC1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-SIGLEC9%20MUC1-based-on-Pubmed-ID-24045940,%2027595232",SIGLEC9,MUC1,SIGLEC9 MUC1,human,24045940
connectomedb,CDB25:0004309,SLPI as ligand directly interacts extracellularly with ANXA2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-SLPI%20ANXA2-based-on-Pubmed-ID-15545357,%2021641406",SLPI,ANXA2,SLPI ANXA2,human,15545357
connectomedb,CDB25:0004333,SVEP1 as ligand directly interacts extracellularly with TIE1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-SVEP1%20TIE1-based-on-Pubmed-ID-37097004,%2037338522",SVEP1,TIE1,SVEP1 TIE1,human,37097004
connectomedb,CDB25:0004352,TENM2 as ligand directly interacts extracellularly with ADGRL3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-TENM2%20ADGRL3-based-on-Pubmed-ID-24273166,%2032358586,%2036746957",TENM2,ADGRL3,TENM2 ADGRL3,human,24273166
connectomedb,CDB25:0004354,TENM4 as ligand directly interacts extracellularly with ADGRL1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-TENM4%20ADGRL1-based-on-Pubmed-ID-24273166,%2030477585",TENM4,ADGRL1,TENM4 ADGRL1,human,24273166
connectomedb,CDB25:0004366,TGFB3 as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-TGFB3%20ITGAV-based-on-Pubmed-ID-11821050,%2025383667",TGFB3,ITGAV,TGFB3 ITGAV,human,11821050
connectomedb,CDB25:0004368,TGFB3 as ligand directly interacts extracellularly with ITGB6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-TGFB3%20ITGB6-based-on-Pubmed-ID-11821050,%2025383667",TGFB3,ITGB6,TGFB3 ITGB6,human,11821050
connectomedb,CDB25:0004375,THBS1 as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-THBS1%20ITGAV-based-on-Pubmed-ID-2478219,%2039304722",THBS1,ITGAV,THBS1 ITGAV,human,2478219
connectomedb,CDB25:0004386,THY1 as ligand directly interacts extracellularly with ITGAM as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-THY1%20ITGAM-based-on-Pubmed-ID-15004192,%2015850796",THY1,ITGAM,THY1 ITGAM,human,15004192
connectomedb,CDB25:0004387,THY1 as ligand directly interacts extracellularly with ITGAV as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-THY1%20ITGAV-based-on-Pubmed-ID-18346467,%2029212879,%2031672942",THY1,ITGAV,THY1 ITGAV,human,18346467
connectomedb,CDB25:0004389,THY1 as ligand directly interacts extracellularly with ITGB1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-THY1%20ITGB1-based-on-Pubmed-ID-25216363,%2031672942",THY1,ITGB1,THY1 ITGB1,human,25216363
connectomedb,CDB25:0004390,THY1 as ligand directly interacts extracellularly with ITGB2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-THY1%20ITGB2-based-on-Pubmed-ID-15004192,%2015850796",THY1,ITGB2,THY1 ITGB2,human,15004192
connectomedb,CDB25:0004391,THY1 as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-THY1%20ITGB3-based-on-Pubmed-ID-18346467,%2029212879",THY1,ITGB3,THY1 ITGB3,human,18346467
connectomedb,CDB25:0004395,TIMP1 as ligand directly interacts extracellularly with LRP1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-TIMP1%20LRP1-based-on-Pubmed-ID-11279011,%2032702237",TIMP1,LRP1,TIMP1 LRP1,human,11279011
connectomedb,CDB25:0004397,TIMP2 as ligand directly interacts extracellularly with MMP2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-TIMP2%20MMP2-based-on-Pubmed-ID-12755684,%2014631378",TIMP2,MMP2,TIMP2 MMP2,human,12755684
connectomedb,CDB25:0004436,VEGFA as ligand directly interacts extracellularly with CD44 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-VEGFA%20CD44-based-on-Pubmed-ID-26181364,%2027834687",VEGFA,CD44,VEGFA CD44,human,26181364
connectomedb,CDB25:0004449,VWF as ligand directly interacts extracellularly with ITGB3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-VWF%20ITGB3-based-on-Pubmed-ID-1737795,%2018927433",VWF,ITGB3,VWF ITGB3,human,1737795
connectomedb,CDB25:0004453,WFIKKN2 as ligand directly interacts extracellularly with IGDCC3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WFIKKN2%20IGDCC3-based-on-Pubmed-ID-32822567,%2037398498",WFIKKN2,IGDCC3,WFIKKN2 IGDCC3,human,32822567
connectomedb,CDB25:0004454,WFIKKN2 as ligand directly interacts extracellularly with IGDCC4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WFIKKN2%20IGDCC4-based-on-Pubmed-ID-32822567,%2037398498",WFIKKN2,IGDCC4,WFIKKN2 IGDCC4,human,32822567
connectomedb,CDB25:0004455,WFIKKN2 as ligand directly interacts extracellularly with PRTG as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WFIKKN2%20PRTG-based-on-Pubmed-ID-32822567,%2037398498",WFIKKN2,PRTG,WFIKKN2 PRTG,human,32822567
connectomedb,CDB25:0004461,WNT10B as ligand directly interacts extracellularly with FZD6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT10B%20FZD6-based-on-Pubmed-ID-24873871,%2030594556,%2033497493",WNT10B,FZD6,WNT10B FZD6,human,24873871
connectomedb,CDB25:0004463,WNT10B as ligand directly interacts extracellularly with LRP6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT10B%20LRP6-based-on-Pubmed-ID-20713706,%2030594556",WNT10B,LRP6,WNT10B LRP6,human,20713706
connectomedb,CDB25:0004484,WNT3A as ligand directly interacts extracellularly with FZD4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT3A%20FZD4-based-on-Pubmed-ID-25605717,%2027458145,%2028733458,%2030304675",WNT3A,FZD4,WNT3A FZD4,human,25605717
connectomedb,CDB25:0004489,WNT3A as ligand directly interacts extracellularly with PTK7 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT3A%20PTK7-based-on-Pubmed-ID-21772251,%2028420671",WNT3A,PTK7,WNT3A PTK7,human,21772251
connectomedb,CDB25:0004511,WNT6 as ligand directly interacts extracellularly with LRP6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT6%20LRP6-based-on-Pubmed-ID-20713706,%2033545636",WNT6,LRP6,WNT6 LRP6,human,20713706
connectomedb,CDB25:0004512,WNT7A as ligand directly interacts extracellularly with ADGRA2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT7A%20ADGRA2-based-on-Pubmed-ID-28289266,%2030304675",WNT7A,ADGRA2,WNT7A ADGRA2,human,28289266
connectomedb,CDB25:0004513,WNT7A as ligand directly interacts extracellularly with FZD4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT7A%20FZD4-based-on-Pubmed-ID-27458145,%2030304675",WNT7A,FZD4,WNT7A FZD4,human,27458145
connectomedb,CDB25:0004515,WNT7A as ligand directly interacts extracellularly with FZD7 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT7A%20FZD7-based-on-Pubmed-ID-28733458,%2036420144",WNT7A,FZD7,WNT7A FZD7,human,28733458
connectomedb,CDB25:0004516,WNT7A as ligand directly interacts extracellularly with FZD8 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT7A%20FZD8-based-on-Pubmed-ID-28733458,%2030304675",WNT7A,FZD8,WNT7A FZD8,human,28733458
connectomedb,CDB25:0004519,WNT7B as ligand directly interacts extracellularly with ADGRA2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT7B%20ADGRA2-based-on-Pubmed-ID-28289266,%2030304675",WNT7B,ADGRA2,WNT7B ADGRA2,human,28289266
connectomedb,CDB25:0004522,WNT7B as ligand directly interacts extracellularly with LRP6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT7B%20LRP6-based-on-Pubmed-ID-20713706,%2033545636",WNT7B,LRP6,WNT7B LRP6,human,20713706
connectomedb,CDB25:0004524,WNT8A as ligand directly interacts extracellularly with LRP6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT8A%20LRP6-based-on-Pubmed-ID-12900447,%2033545636",WNT8A,LRP6,WNT8A LRP6,human,12900447
connectomedb,CDB25:0004529,WNT8B as ligand directly interacts extracellularly with LRP6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT8B%20LRP6-based-on-Pubmed-ID-12900447,%2033545636",WNT8B,LRP6,WNT8B LRP6,human,12900447
connectomedb,CDB25:0004536,WNT9A as ligand directly interacts extracellularly with LRP6 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-WNT9A%20LRP6-based-on-Pubmed-ID-20713706,%2033545636",WNT9A,LRP6,WNT9A LRP6,human,20713706
connectomedb,CDB25:0003149,App as ligand directly interacts extracellularly with Cntn3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-App%20Cntn3-based-on-Pubmed-ID-31318883,%2034958801-in-mouse",App,Cntn3,App Cntn3,mouse,31318883
connectomedb,CDB25:0003150,App as ligand directly interacts extracellularly with Cntn4 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-App%20Cntn4-based-on-Pubmed-ID-31318883,%2034958801-in-mouse",App,Cntn4,App Cntn4,mouse,31318883
connectomedb,CDB25:0003279,Cd24a as ligand directly interacts extracellularly with L1cam as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Cd24a%20L1cam-based-on-Pubmed-ID-11283023,%209048906-in-mouse",Cd24a,L1cam,Cd24a L1cam,mouse,11283023
connectomedb,CDB25:0003305,Cdh2 as ligand directly interacts extracellularly with Klrg1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Cdh2%20Klrg1-based-on-Pubmed-ID-16461340,%2019855082-in-mouse",Cdh2,Klrg1,Cdh2 Klrg1,mouse,16461340
connectomedb,CDB25:0003539,Epha3 as ligand directly interacts extracellularly with Efna2 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Epha3%20Efna2-based-on-Pubmed-ID-10958785,%2022568954-in-mouse",Epha3,Efna2,Epha3 Efna2,mouse,10958785
connectomedb,CDB25:0003581,Ephb2 as ligand directly interacts extracellularly with Efnb3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ephb2%20Efnb3-based-on-Pubmed-ID-20410461,%2022568954-in-mouse",Ephb2,Efnb3,Ephb2 Efnb3,mouse,20410461
connectomedb,CDB25:0003637,Flrt1 as ligand directly interacts extracellularly with Unc5b as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Flrt1%20Unc5b-based-on-Pubmed-ID-21673655,%2026633812-in-mouse",Flrt1,Unc5b,Flrt1 Unc5b,mouse,21673655
connectomedb,CDB25:0003646,Flrt2 as ligand directly interacts extracellularly with Unc5b as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Flrt2%20Unc5b-based-on-Pubmed-ID-21673655,%2026633812,%2028576770-in-mouse",Flrt2,Unc5b,Flrt2 Unc5b,mouse,21673655
connectomedb,CDB25:0003648,Flrt2 as ligand directly interacts extracellularly with Unc5d as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Flrt2%20Unc5d-based-on-Pubmed-ID-21673655,%2026633812-in-mouse",Flrt2,Unc5d,Flrt2 Unc5d,mouse,21673655
connectomedb,CDB25:0003651,Flrt3 as ligand directly interacts extracellularly with Flrt3 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Flrt3%20Flrt3-based-on-Pubmed-ID-16440004,%2025374360-in-mouse",Flrt3,Flrt3,Flrt3 Flrt3,mouse,16440004
connectomedb,CDB25:0003652,Flrt3 as ligand directly interacts extracellularly with Unc5b as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Flrt3%20Unc5b-based-on-Pubmed-ID-21673655,%2026633812-in-mouse",Flrt3,Unc5b,Flrt3 Unc5b,mouse,21673655
connectomedb,CDB25:0003654,Flrt3 as ligand directly interacts extracellularly with Unc5d as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Flrt3%20Unc5d-based-on-Pubmed-ID-21673655,%2026633812-in-mouse",Flrt3,Unc5d,Flrt3 Unc5d,mouse,21673655
connectomedb,CDB25:0003788,Il1rap as ligand directly interacts extracellularly with Ptprd as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Il1rap%20Ptprd-based-on-Pubmed-ID-22357843,%2025908590-in-mouse",Il1rap,Ptprd,Il1rap Ptprd,mouse,22357843
connectomedb,CDB25:0003834,Klrg1 as ligand directly interacts extracellularly with Cdh1 as receptor.,SUPPORT,SUPPORTED,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Klrg1%20Cdh1-based-on-Pubmed-ID-16461340,%2019855082-in-mouse",Klrg1,Cdh1,Klrg1 Cdh1,mouse,16461340
